sample_number,ID,sample_ID_simplified,sample_ID_extended,class
Sample_0049,18NS033,Necktie River,Necktie River,Natural stand
Sample_0061,18NS034,Necktie River,Necktie River,Natural stand
Sample_0073,18NS035,Necktie River,Necktie River,Natural stand
Sample_0085,18NS036,Necktie River,Necktie River,Natural stand
Sample_0005,18NS037,Necktie River,Necktie River,Natural stand
Sample_0016,18NS038,Necktie River,Necktie River,Natural stand
Sample_0027,18NS039,Necktie River,Necktie River,Natural stand
Sample_0038,18NS040,Necktie River,Necktie River,Natural stand
Sample_0050,18NS041,Necktie River,Necktie River,Natural stand
Sample_0062,18NS042,Necktie River,Necktie River,Natural stand
Sample_0074,18NS043,Necktie River,Necktie River,Natural stand
Sample_0086,18NS044,Necktie River,Necktie River,Natural stand
Sample_0006,18NS045,Necktie River,Necktie River,Natural stand
Sample_0017,18NS046,Necktie River,Necktie River,Natural stand
Sample_0028,18NS047,Necktie River,Necktie River,Natural stand
Sample_0039,18NS048,Necktie River,Necktie River,Natural stand
Sample_0051,18NS049,Necktie River,Necktie River,Natural stand
Sample_0063,18NS050,Necktie River,Necktie River,Natural stand
Sample_1052,NecktieLake,Necktie River,Necktie River,Natural stand
Sample_0625,18NS501,Ottertail River,Ottertail River,Natural stand
Sample_0637,18NS502,Ottertail River,Ottertail River,Natural stand
Sample_0557,18NS503,Ottertail River,Ottertail River,Natural stand
Sample_0568,18NS504,Ottertail River,Ottertail River,Natural stand
Sample_0579,18NS505,Ottertail River,Ottertail River,Natural stand
Sample_0590,18NS506,Ottertail River,Ottertail River,Natural stand
Sample_0602,18NS507,Ottertail River,Ottertail River,Natural stand
Sample_0614,18NS508,Ottertail River,Ottertail River,Natural stand
Sample_0626,18NS509,Ottertail River,Ottertail River,Natural stand
Sample_0638,18NS510,Ottertail River,Ottertail River,Natural stand
Sample_0558,18NS511,Ottertail River,Ottertail River,Natural stand
Sample_0569,18NS512,Ottertail River,Ottertail River,Natural stand
Sample_0580,18NS513,Ottertail River,Ottertail River,Natural stand
Sample_0591,18NS514,Ottertail River,Ottertail River,Natural stand
Sample_0603,18NS515,Ottertail River,Ottertail River,Natural stand
Sample_0615,18NS516,Ottertail River,Ottertail River,Natural stand
Sample_0627,18NS517,Ottertail River,Ottertail River,Natural stand
Sample_0639,18NS518,Ottertail River,Ottertail River,Natural stand
Sample_0559,18NS519,Ottertail River,Ottertail River,Natural stand
Sample_0570,18NS520,Ottertail River,Ottertail River,Natural stand
Sample_0581,18NS521,Ottertail River,Ottertail River,Natural stand
Sample_0592,18NS522,Ottertail River,Ottertail River,Natural stand
Sample_0604,18NS523,Ottertail River,Ottertail River,Natural stand
